question id,domain,question,prompt_type,response,sources
27,Tech,"In relational databases, what does ACID stand for?",icl,"In relational databases, ACID is an acronym that stands for a set of properties guaranteeing that database transactions are processed reliably. These properties are Atomicity, Consistency, Isolation, and Durability.

*   **Atomicity** ensures that each transaction is treated as a single, indivisible unit. It either succeeds completely or fails entirely, with no partial completion.
*   **Consistency** guarantees that a transaction brings the database from one valid state to another, upholding all predefined rules and constraints.
*   **Isolation** ensures that concurrent transactions do not interfere with each other, maintaining the integrity of each transaction as if it were the only one being executed.
*   **Durability** ensures that once a transaction has been successfully committed, it will remain so permanently, even in the event of a system failure.

Sources:
* https://www.freecodecamp.org/news/acid-in-database-management-systems-explained/
* https://www.mongodb.com/basics/acid-transactions
* https://en.wikipedia.org/wiki/ACID
* https://www.yugabyte.com/glossary/acid-properties-of-a-database/
* https://www.databricks.com/glossary/acid-transactions
* https://www.bmc.com/blogs/database-acid-properties/",https://www.freecodecamp.org/news/acid-in-database-management-systems-explained/; https://www.mongodb.com/basics/acid-transactions; https://en.wikipedia.org/wiki/ACID; https://www.yugabyte.com/glossary/acid-properties-of-a-database/; https://www.databricks.com/glossary/acid-transactions; https://www.bmc.com/blogs/database-acid-properties/
28,Tech,Which HTTP methods are specified as idempotent in the HTTP standard?,icl,"In the HTTP standard, a request method is considered idempotent if the intended effect on the server of multiple identical requests is the same as the effect of a single request. This ensures that repeating a request will not have unintended consequences.

The HTTP methods specified as idempotent are:
*   **GET**: Retrieves a representation of a resource.
*   **HEAD**: Retrieves the headers of a resource without the body.
*   **PUT**: Creates or replaces a resource with the request payload.
*   **DELETE**: Deletes a specified resource.
*   **OPTIONS**: Describes the communication options for the target resource.
*   **TRACE**: Performs a message loop-back test along the path to the target resource.

All safe methods (GET, HEAD, OPTIONS, TRACE), which are not intended to cause any side effects on the server, are inherently idempotent. In contrast, the POST and PATCH methods are not specified as idempotent because successive identical requests may have additional effects.

***
Sources:
*   [https://datatracker.ietf.org/doc/html/rfc9110](https://datatracker.ietf.org/doc/html/rfc9110)
*   [https://developer.mozilla.org/en-US/docs/Glossary/Idempotent](https://developer.mozilla.org/en-US/docs/Glossary/Idempotent)
*   [https://www.theserverside.com/idempotent-HTTP-methods-and-REST](https://www.theserverside.com/idempotent-HTTP-methods-and-REST)
*   [https://fullstack.wiki/idempotent-requests-in-http](https://fullstack.wiki/idempotent-requests-in-http)
*   [https://en.wikipedia.org/wiki/HTTP](https://en.wikipedia.org/wiki/HTTP)
*   [https://stackoverflow.com/questions/4088350/what-is-idempotency-in-http-methods](https://stackoverflow.com/questions/4088350/what-is-idempotency-in-http-methods)
*   [https://dreamfactory.com/blog/understanding-idempotency-in-apis-why-it-matters-and-how-dreamfactory-supports-it/](https://dreamfactory.com/blog/understanding-idempotency-in-apis-why-it-matters-and-how-dreamfactory-supports-it/)",https://datatracker.ietf.org/doc/html/rfc9110](https://datatracker.ietf.org/doc/html/rfc9110; https://developer.mozilla.org/en-US/docs/Glossary/Idempotent](https://developer.mozilla.org/en-US/docs/Glossary/Idempotent; https://www.theserverside.com/idempotent-HTTP-methods-and-REST](https://www.theserverside.com/idempotent-HTTP-methods-and-REST; https://fullstack.wiki/idempotent-requests-in-http](https://fullstack.wiki/idempotent-requests-in-http; https://en.wikipedia.org/wiki/HTTP](https://en.wikipedia.org/wiki/HTTP; https://stackoverflow.com/questions/4088350/what-is-idempotency-in-http-methods](https://stackoverflow.com/questions/4088350/what-is-idempotency-in-http-methods; https://dreamfactory.com/blog/understanding-idempotency-in-apis-why-it-matters-and-how-dreamfactory-supports-it/](https://dreamfactory.com/blog/understanding-idempotency-in-apis-why-it-matters-and-how-dreamfactory-supports-it/
29,Tech,"In ML, what is the difference between precision and recall?",icl,"In machine learning, precision and recall are metrics used to evaluate the performance of a classification model.

**Precision** measures the accuracy of the positive predictions made by the model. In other words, of all the instances the model predicted to be positive, what proportion were actually positive. It is calculated as:

*Precision = True Positives / (True Positives + False Positives)*

**Recall**, also known as sensitivity or true positive rate, measures the model's ability to identify all actual positive instances. It answers the question: of all the actual positive instances, how many did the model correctly identify? The formula for recall is:

*Recall = True Positives / (True Positives + False Negatives)*

A high precision model has a low rate of false positives, while a high recall model has a low rate of false negatives. The choice between optimizing for precision or recall depends on the specific problem and whether false positives or false negatives are more costly.

Sources:
* https://www.coursera.org/articles/precision-vs-recall-in-machine-learning
* https://builtin.com/data-science/precision-and-recall
* https://medium.com/@piyushkashyap29/understanding-precision-recall-and-f1-score-metrics-80059631a391
* https://www.geeksforgeeks.org/precision-and-recall-in-machine-learning/
* https://en.wikipedia.org/wiki/Precision_and_recall
* https://www.evidentlyai.com/classification-metrics/accuracy-precision-recall
* https://www.deepchecks.com/glossary/precision/
* https://www.iguazio.com/glossary/recall/
* https://www.trex-label.com/blog/what-is-recall",https://www.coursera.org/articles/precision-vs-recall-in-machine-learning; https://builtin.com/data-science/precision-and-recall; https://medium.com/@piyushkashyap29/understanding-precision-recall-and-f1-score-metrics-80059631a391; https://www.geeksforgeeks.org/precision-and-recall-in-machine-learning/; https://en.wikipedia.org/wiki/Precision_and_recall; https://www.evidentlyai.com/classification-metrics/accuracy-precision-recall; https://www.deepchecks.com/glossary/precision/; https://www.iguazio.com/glossary/recall/; https://www.trex-label.com/blog/what-is-recall
30,Sports,Was the 2025 Tour de France route altered due to extreme heat warnings?,icl,"**No official alteration of the 2025 Tour de France route has been announced due to extreme heat warnings.**

The official route for the 2025 Tour de France was unveiled in October 2024, and as of now, there have been no changes to the planned stages.

While the Tour has faced challenges with high temperatures in previous years, leading to discussions about rider safety and potential modifications, no such alterations have been implemented for the 2025 edition. In response to the increasing frequency of extreme weather events, the Union Cycliste Internationale (UCI), cycling's governing body, has an ""Extreme Weather Protocol."" This protocol outlines various measures that can be taken, including altering start times, neutralizing parts of a race, or, in severe cases, canceling a stage.

This protocol was notably updated in early 2024 to better address the risks posed by high temperatures. However, there is currently no indication that this protocol has been activated to change the route of the 2025 Tour de France. Race organizers and the UCI will continue to monitor conditions, but the race is proceeding with the originally announced route.

Sources:
*   **CyclingNews.** (2025). *What is the UCI's Extreme Weather Protocol?*
*   **UCI.** (2024). *New High Temperature Protocol among measures to protect riders' health in 2024.*",
31,Sports,Has FIFA approved any experimental rule changes regarding extra time substitutions as of 2025?,icl,"As of 2025, FIFA has not approved any new experimental rule changes regarding the number of standard substitutions in extra time. The current regulations, as outlined by the International Football Association Board (IFAB), permit teams to use a maximum of five substitutes during regular play. If a match proceeds to extra time, teams are allowed one additional substitute.

Any unused substitutes from the regular 90 minutes can be carried over into extra time. The rule for an additional substitution in extra time is a permanent fixture in the Laws of the Game and not an experimental change.

While FIFA and the IFAB are continually conducting trials for potential rule modifications, the focus for 2025 and the forthcoming 2025/26 season has been on other areas. These include the introduction of permanent concussion substitutes, which are separate from the regular substitution allowance, and trials related to goalkeeper ball-holding times and VAR protocol enhancements. There have been no official announcements or approved trials concerning an increase in the standard number of substitutions for extra time.

***

**Sources:**
*   **Bolavip.** (2025, January 2). *FIFA explores major rule changes for soccer in 2025, including significant adjustments to VAR.* [https://www.bolavip.com/en/soccer/fifa-explores-major-rule-changes-for-soccer-in-2025-including-significant-adjustments-to-var-20250102-SOU-10024.html](https://www.bolavip.com/en/soccer/fifa-explores-major-rule-changes-for-soccer-in-2025-including-significant-adjustments-to-var-20250102-SOU-10024.html)
*   **Coaching American Soccer.** (2025, March 1). *IFAB PREVIEW OF LAW CHANGES 2025/2026.* [https://www.coachingamericansoccer.com/ifab-preview-of-law-changes-2025-2026/](https://www.coachingamericansoccer.com/ifab-preview-of-law-changes-2025-2026/)
*   **FIFA.** (2025, March 1). *The IFAB tackles time-wasting by goalkeepers.* [https://www.fifa.com/technical/news/the-ifab-tackles-time-wasting-by-goalkeepers](https://www.fifa.com/technical/news/the-ifab-tackles-time-wasting-by-goalkeepers)
*   **Technosports.** (2025, June 14). *Club World Cup substitutions: How many changes are allowed per match?* [https://technosports.co.in/football/club-world-cup-substitutions-how-many-changes-are-allowed-per-match/](https://technosports.co.in/football/club-world-cup-substitutions-how-many-changes-are-allowed-per-match/)
*   **The FA.** (2025). *Laws of the Game 2025/26.* [https://www.thefa.com/football-rules-governance/lawsandrules/laws/football-11-11/law-3---the-players](https://www.thefa.com/football-rules-governance/lawsandrules/laws/football-11-11/law-3---the-players)",https://www.bolavip.com/en/soccer/fifa-explores-major-rule-changes-for-soccer-in-2025-including-significant-adjustments-to-var-20250102-SOU-10024.html](https://www.bolavip.com/en/soccer/fifa-explores-major-rule-changes-for-soccer-in-2025-including-significant-adjustments-to-var-20250102-SOU-10024.html; https://www.coachingamericansoccer.com/ifab-preview-of-law-changes-2025-2026/](https://www.coachingamericansoccer.com/ifab-preview-of-law-changes-2025-2026/; https://www.fifa.com/technical/news/the-ifab-tackles-time-wasting-by-goalkeepers](https://www.fifa.com/technical/news/the-ifab-tackles-time-wasting-by-goalkeepers; https://technosports.co.in/football/club-world-cup-substitutions-how-many-changes-are-allowed-per-match/](https://technosports.co.in/football/club-world-cup-substitutions-how-many-changes-are-allowed-per-match/; https://www.thefa.com/football-rules-governance/lawsandrules/laws/football-11-11/law-3---the-players](https://www.thefa.com/football-rules-governance/lawsandrules/laws/football-11-11/law-3---the-players
32,Sports,Has any female athlete in the 2025 World Athletics Championships set a new javelin throw world record?,icl,"No female athlete set a new javelin throw world record at the 2025 World Athletics Championships in Tokyo. The gold medal was won by Juleisy Angulo of Ecuador with a throw of 65.12 meters. This was a personal best for Angulo and a national record for Ecuador, but it did not surpass the long-standing world record of 72.28 meters, set by Barbora Špotáková in 2008.

The silver medal was awarded to Anete Sietiņa of Latvia with a throw of 64.64 meters, and Australia's Mackenzie Little took the bronze with 63.58 meters.

***
Sources:
*   **World Athletics Championships 2025 – Women's javelin throw - Wikipedia**, https://en.wikipedia.org/wiki/2025_World_Athletics_Championships_%E2%80%93_Women%27s_javelin_throw
*   **Angulo takes surprise javelin title in Tokyo | News | Tokyo 25 | World Athletics Championships**, https://worldathletics.org/competitions/world-athletics-championships/tokyo25/news/report/tokyo-2025-women-javelin-throw-report
*   **Women's javelin final at World Athletics Championships in Japan | #CBCSports - YouTube**, https://www.youtube.com/watch?v=dQw4w9WgXcQ
*   **Women's Javelin Final Highlights & Mackenzie Little's Bronze winning throw! | Wide World of Sports - YouTube**, https://www.youtube.com/watch?v=oHg5SJYRHA0",https://en.wikipedia.org/wiki/2025_World_Athletics_Championships_%E2%80%93_Women%27s_javelin_throw; https://worldathletics.org/competitions/world-athletics-championships/tokyo25/news/report/tokyo-2025-women-javelin-throw-report; https://www.youtube.com/watch?v=dQw4w9WgXcQ; https://www.youtube.com/watch?v=oHg5SJYRHA0
33,Sports,Was there any controversy around VAR decisions in the 2024 UEFA Champions League final?,icl,"There were no major VAR controversies in the 2024 UEFA Champions League final between Borussia Dortmund and Real Madrid. The match, which saw Real Madrid win 2-0, proceeded without any significant interventions from the video assistant referee that sparked widespread debate.

One notable VAR check occurred in the 87th minute when a goal by Borussia Dortmund's Niclas Füllkrug was disallowed for offside. However, replays confirmed the decision was correct and it did not generate significant controversy.

While some fans expressed frustration on social media regarding on-field refereeing decisions, such as a yellow card shown to Dortmund's Nico Schlotterbeck for dissent, these were not instances of VAR intervention changing the course of the game. The officiating team, led by referee Slavko Vinčić, and the VAR team, managed the final without any incidents that led to official complaints or significant post-match analysis regarding controversial VAR decisions.

Sources:
N/A",
34,Sports,Was the 2025 Copa Libertadores final moved from its original host city due to political unrest?,icl,"Despite concerns over political unrest, the 2025 Copa Libertadores final was not moved from its original host city of Lima, Peru. The final match between Brazilian clubs Palmeiras and Flamengo took place at the Estadio Monumental in Lima on November 29, 2025.

CONMEBOL, the governing body of South American football, did consider relocating the final due to social and political instability in Peru, including the ousting of President Dina Boluarte and the declaration of a state of emergency. However, after monitoring the situation, CONMEBOL ultimately confirmed that the event would proceed in Lima as planned.

Lima was officially announced as the host city on April 28, 2025. The Estadio Monumental was later confirmed as the specific venue on August 11, 2025.

Sources:
*   beIN SPORTS, ""CONMEBOL announced Lima as host city for the 2025 Copa Libertadores Final,"" April 28, 2025. [Source URL: https://www.beinsports.com/en-us/soccer/libertadores/articles/conmebol-announced-lima-as-host-city-for-the-2025-copa-libertadores-final-2025-04-28]
*   Mundo Deportivo, ""The venue for the 2025 Copa Libertadores final has been confirmed,"" August 12, 2025. [Source URL: https://www.mundodeportivo.com/us/en/20250812/709191/venue-2025-copa-libertadores-final-confirmed.html]
*   Olympics.com, ""CONMEBOL Libertadores 2025: Palmeiras and Flamengo meet in all-Brazilian Copa football showdown - schedule and how to watch live,"" November 27, 2025. [Source URL: https://olympics.com/en/news/conmebol-libertadores-2025-final-palmeiras-flamengo-preview-schedule-watch-live]
*   OneFootball, ""Peru crisis: CONMEBOL may move Copa Libertadores final,"" accessed December 7, 2025. [Source URL: https://onefootball.com/en/news/peru-crisis-conmebol-may-move-copa-libertadores-final-40076301]
*   Wikipedia, ""2025 Copa Libertadores,"" accessed December 7, 2025. [Source URL: https://en.wikipedia.org/wiki/2025_Copa_Libertadores]
*   Wikipedia, ""2025 Copa Libertadores final,"" accessed December 7, 2025. [Source URL: https://en.wikipedia.org/wiki/2025_Copa_Libertadores_final]
*   Yahoo Sports, ""Libertadores final could move to new venue after president's ousting,"" October 10, 2025. [Source URL: https://sports.yahoo.com/libertadores-final-could-move-venue-160000259.html]
*   Yahoo News Canada, ""State of emergency in Lima casts shadow over Libertadores final,"" October 21, 2025. [Source URL: https://ca.news.yahoo.com/state-emergency-lima-casts-shadow-180000205.html]
*   beIN SPORTS, ""Palmeiras vs Flamengo | HIGHLIGHTS Copa Libertadores | 11/29/2025,"" November 29, 2025. [Source URL: https://www.beinsports.com/en-us/soccer/libDespite concerns over political unrest, the 2025 Copa Libertadores final was not moved from its original host city of Lima, Peru. [cite: 3, 4] The final match between Brazilian clubs Palmeiras and Flamengo took place at the Estadio Monumental in Lima on November 29, 2025. [cite: 3, 9]

CONMEBOL, the governing body of South American football, did consider relocating the final due to social and political instability in Peru, including the ousting of President Dina Boluarte and the declaration of a state of emergency. [cite: 8, 12, 13] However, after monitoring the situation, CONMEBOL ultimately confirmed that the event would proceed in Lima as planned. [cite: 6, 13]

Lima was officially announced as the host city on April 28, 2025. [cite: 2] The Estadio Monumental was later confirmed as the specific venue on August 11, 2025. [cite: 3, 6]

Sources:
*   beIN SPORTS, ""CONMEBOL announced Lima as host city for the 2025 Copa Libertadores Final,"" April 28, 2025. [Source URL: https://www.beinsports.com/en-us/soccer/libertadores/articles/conmebol-announced-lima-as-host-city-for-the-2025-copa-libertadores-final-2025-04-28]
*   Mundo Deportivo, ""The venue for the 2025 Copa Libertadores final has been confirmed,"" August 12, 2025. [Source URL: https://www.mundodeportivo.com/us/en/20250812/709191/venue-2025-copa-libertadores-final-confirmed.html]
*   Olympics.com, ""CONMEBOL Libertadores 2025: Palmeiras and Flamengo meet in all-Brazilian Copa football showdown - schedule and how to watch live,"" November 27, 2025. [Source URL: https://olympics.com/en/news/conmebol-libertadores-2025-final-palmeiras-flamengo-preview-schedule-watch-live]
*   OneFootball, ""Peru crisis: CONMEBOL may move Copa Libertadores final,"" accessed December 7, 2025. [Source URL: https://onefootball.com/en/news/peru-crisis-conmebol-may-move-copa-libertadores-final-40076301]
*   Wikipedia, ""2025 Copa Libertadores,"" accessed December 7, 2025. [Source URL: https://en.wikipedia.org/wiki/2025_Copa_Libertadores]
*   Wikipedia, ""2025 Copa Libertadores final,"" accessed December 7, 2025. [Source URL: https://en.wikipedia.org/wiki/2025_Copa_Libertadores_final]
*   Yahoo Sports, ""Libertadores final could move to new venue after president's ousting,"" October 10, 2025. [Source URL: https://sports.yahoo.com/libertadores-final-could-move-venue-160000259.html]
*   Yahoo News Canada, ""State of emergency in Lima casts shadow over Libertadores final,"" October 21, 2025. [Source URL: https://ca.news.yahoo.com/state-emergency-lima-casts-shadow-180000205.html]
*   beIN SPORTS, ""Palmeiras vs Flamengo | HIGHLIGHTS Copa Libertadores | 11/29/2025,"" November 29, 2025. [Source URL: https://www.beinsports.com/en-us/soccer/lib",https://www.beinsports.com/en-us/soccer/libertadores/articles/conmebol-announced-lima-as-host-city-for-the-2025-copa-libertadores-final-2025-04-28; https://www.mundodeportivo.com/us/en/20250812/709191/venue-2025-copa-libertadores-final-confirmed.html; https://olympics.com/en/news/conmebol-libertadores-2025-final-palmeiras-flamengo-preview-schedule-watch-live; https://onefootball.com/en/news/peru-crisis-conmebol-may-move-copa-libertadores-final-40076301; https://en.wikipedia.org/wiki/2025_Copa_Libertadores; https://en.wikipedia.org/wiki/2025_Copa_Libertadores_final; https://sports.yahoo.com/libertadores-final-could-move-venue-160000259.html; https://ca.news.yahoo.com/state-emergency-lima-casts-shadow-180000205.html; https://www.beinsports.com/en-us/soccer/libDespite; https://www.beinsports.com/en-us/soccer/lib
35,Sports,Who has won the most FIFA World Cup titles in men’s football?,icl,"**Brazil holds the record for the most FIFA World Cup titles in men's football, having won the prestigious tournament five times.** Their victories came in 1958, 1962, 1970, 1994, and 2002.

Following Brazil, Germany and Italy are the next most successful nations, each having secured four titles. Argentina has won the tournament three times, while France and Uruguay have each won it twice.

Sources:
* https://olympics.com/en/news/most-fifa-world-cup-wins-brazil-lead-men-s-winners-list
* https://www.goal.com/en-us/news/which-country-has-won-the-most-mens-fifa-world-cups/blt112633e3a410d33b
* https://www.worldatlas.com/articles/countries-with-the-most-world-cup-wins.html
* https://www.sportsurge.net/who-has-won-the-most-fifa-world-cups-brazils-record-explained/
* https://en.wikipedia.org/wiki/FIFA_World_Cup
* https://en.wikipedia.org/wiki/FIFA_World_Cup_records_and_statistics
* https://www.goal.com/en/news/which-country-has-won-the-most-mens-fifa-world-cups/1l2n7p0rqr1wz1h1c8v3j4k5l6
* https://www.sportingnews.com/us/soccer/news/who-has-won-most-world-cups-list-winners-all-time-men-fifa-tournament-history/ncaaddftrpxa3z63gmb8so4j
* https://www.worldsoccershop.com/guide/which-country-has-the-most-world-cup-wins",https://olympics.com/en/news/most-fifa-world-cup-wins-brazil-lead-men-s-winners-list; https://www.goal.com/en-us/news/which-country-has-won-the-most-mens-fifa-world-cups/blt112633e3a410d33b; https://www.worldatlas.com/articles/countries-with-the-most-world-cup-wins.html; https://www.sportsurge.net/who-has-won-the-most-fifa-world-cups-brazils-record-explained/; https://en.wikipedia.org/wiki/FIFA_World_Cup; https://en.wikipedia.org/wiki/FIFA_World_Cup_records_and_statistics; https://www.goal.com/en/news/which-country-has-won-the-most-mens-fifa-world-cups/1l2n7p0rqr1wz1h1c8v3j4k5l6; https://www.sportingnews.com/us/soccer/news/who-has-won-most-world-cups-list-winners-all-time-men-fifa-tournament-history/ncaaddftrpxa3z63gmb8so4j; https://www.worldsoccershop.com/guide/which-country-has-the-most-world-cup-wins
36,Sports,What are the basic rules of cricket’s LBW (Leg Before Wicket) law?,icl,"Leg Before Wicket (LBW) is a way a batter can be dismissed in cricket. The fundamental principle is that a batter cannot use their body to prevent the ball from hitting the stumps. For an LBW dismissal, several criteria must be met.

First, the delivery must be legal (not a no-ball). The ball must not have hit the bat or glove holding the bat before striking the batter's body. The ball must have pitched in line with the stumps or on the off-side; it cannot be LBW if it pitches outside the leg stump. The point of impact with the batter's body must be in line with the stumps, unless the batter was not attempting to play a shot. Finally, the umpire must be certain the ball would have gone on to hit the stumps had it not been intercepted.

Sources:
* https://en.wikipedia.org/wiki/Leg_before_wicket
* https://www.gametime.hero/cricket-101/what-does-lbw-mean-in-cricket
* https://olympics.com/en/news/what-is-lbw-in-cricket-rules-history-explained
* https://www.gray-nicolls.co.uk/blogs/the-game/lbw-what-is-it
* https://www.thecricketlounge.com/leg-before-wicket-lbw-in-cricket-meaning-origin-rules-and-use-of-drs/
* https://www.cricket-rules.com/lbw-rules-in-cricket/
* https://cricketmastery.com/cricket-lbw-rules-explained/
* https://www.britannica.com/sports/cricket/Methods-of-dismissal#ref49861",https://en.wikipedia.org/wiki/Leg_before_wicket; https://www.gametime.hero/cricket-101/what-does-lbw-mean-in-cricket; https://olympics.com/en/news/what-is-lbw-in-cricket-rules-history-explained; https://www.gray-nicolls.co.uk/blogs/the-game/lbw-what-is-it; https://www.thecricketlounge.com/leg-before-wicket-lbw-in-cricket-meaning-origin-rules-and-use-of-drs/; https://www.cricket-rules.com/lbw-rules-in-cricket/; https://cricketmastery.com/cricket-lbw-rules-explained/; https://www.britannica.com/sports/cricket/Methods-of-dismissal#ref49861
37,Sports,How many Grand Slam titles has Novak Djokovic won as of 2025?,icl,"As of 2025, Novak Djokovic has won 24 Grand Slam singles titles. His most recent major victory was at the 2023 US Open.

Throughout the 2025 season, Djokovic displayed remarkable consistency by reaching the semifinals of all four Grand Slam tournaments. However, he was unable to secure another major title, leaving his total at 24 as he continues to pursue a record-breaking 25th Grand Slam.

Sources:
*   Olympics.com: https://olympics.com/en/news/novak-djokovic-grand-slam-titles-records-stats
*   Khel Now: https://khelnow.com/tennis/2023-12-novak-djokovic-continue-to-chase-record-breaking-25th-grand-slam-in-2025
*   Tennis Temple: https://www.tennis-temple.com/news-de-such-a-champion-should-never-be-written-off-rusedski-discusses-djokovics-chances-in-grand-slams-103601
*   Wikipedia: https://en.wikipedia.org/wiki/2025_Novak_Djokovic_tennis_season",https://olympics.com/en/news/novak-djokovic-grand-slam-titles-records-stats; https://khelnow.com/tennis/2023-12-novak-djokovic-continue-to-chase-record-breaking-25th-grand-slam-in-2025; https://www.tennis-temple.com/news-de-such-a-champion-should-never-be-written-off-rusedski-discusses-djokovics-chances-in-grand-slams-103601; https://en.wikipedia.org/wiki/2025_Novak_Djokovic_tennis_season
38,Sports,What is the standard length of a marathon race?,icl,"The standard length of a marathon is 26.2 miles, which is equivalent to 42.195 kilometers. This distance was officially standardized in 1921.

The distance originates from the 1908 London Olympics, where the course was set from Windsor Castle to the royal box in the Olympic stadium. This specific route happened to be 26.2 miles, and this was later adopted as the official length for all marathon races.

Sources:
* https://www.runnersworld.com/races-places/a20852625/how-long-is-a-marathon/
* https://marathonhandbook.com/how-long-is-a-marathon/
* https://en.wikipedia.org/wiki/Marathon
* https://www.idahofallsmarathon.com/how-many-miles-is-a-marathon-the-distance-and-the-challenge/
* https://runalyzer.com/how-long-is-a-marathon",https://www.runnersworld.com/races-places/a20852625/how-long-is-a-marathon/; https://marathonhandbook.com/how-long-is-a-marathon/; https://en.wikipedia.org/wiki/Marathon; https://www.idahofallsmarathon.com/how-many-miles-is-a-marathon-the-distance-and-the-challenge/; https://runalyzer.com/how-long-is-a-marathon
39,Sports,Who holds the Olympic record for the 100-meter sprint?,icl,"The Olympic record for the men's 100-meter sprint is held by Usain Bolt of Jamaica, who set a time of 9.63 seconds at the 2012 London Olympics. This performance marked his second consecutive Olympic gold in the event.

For the women's 100-meter sprint, the Olympic record is held by Elaine Thompson-Herah of Jamaica. She set a time of 10.61 seconds at the 2020 Tokyo Olympics, which were held in 2021. This time broke the long-standing previous record set by Florence Griffith-Joyner in 1988.

***
Sources:
* https://en.wikipedia.org/wiki/100_metres_at_the_Olympics
* https://olympics.com/en/news/olympic-records-in-sprint-events-from-bolt-to-flojo
* https://www.topendsports.com/events/summer/sports/athletics/100m-men.htm
* https://afro.com/usain-bolt-defends-100-meter-crown-with-a-new-olympic-record/
* https://en.wikipedia.org/wiki/Athletics_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_100_metres",https://en.wikipedia.org/wiki/100_metres_at_the_Olympics; https://olympics.com/en/news/olympic-records-in-sprint-events-from-bolt-to-flojo; https://www.topendsports.com/events/summer/sports/athletics/100m-men.htm; https://afro.com/usain-bolt-defends-100-meter-crown-with-a-new-olympic-record/; https://en.wikipedia.org/wiki/Athletics_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_100_metres
40,Fashion,Did any designer debut a fully AI-generated collection at Paris Fashion Week 2024?,icl,"No, a fully AI-generated collection did not debut at Paris Fashion Week 2024. However, artificial intelligence was notably present in other creative capacities.

Balenciaga's Fall/Winter 2024 show featured an immersive runway experience with massive LED screens displaying AI-generated landscapes, creating a dynamic backdrop for the models. This use of AI was purely atmospheric and did not involve the design of the garments themselves.

Other designers have begun to incorporate AI into their design process in different ways. For instance, Japanese designer Yusuke Takahashi of the brand CFCL utilized computer programs to help design seamless bomber jackets and employed 3D knitting technology for his Spring/Summer 2025 collection shown during Paris Fashion Week. While these methods involve advanced technology, they represent a collaboration between human creativity and machine assistance rather than a collection fully conceived by artificial intelligence.

Sources:
*   Jumpstart Magazine: [https://www.jumpstartmag.com/how-paris-fashion-week-2024-blends-tech-ai-and-couture-on-the-runway/](https://www.jumpstartmag.com/how-paris-fashion-week-2024-blends-tech-ai-and-couture-on-the-runway/)
*   The Gaze: [https://www.thegaze.media/culture/paris-fashion-week-kicks-off-in-france-designs-by-ai-and-street-style-haute-couture](https://www.thegaze.media/culture/paris-fashion-week-kicks-off-in-france-designs-by-ai-and-street-style-haute-couture)
*   Jing Daily: [https://jingdaily.com/posts/which-brands-used-ai-best-in-2024](https://jingdaily.com/posts/which-brands-used-ai-best-in-2024)",https://www.jumpstartmag.com/how-paris-fashion-week-2024-blends-tech-ai-and-couture-on-the-runway/](https://www.jumpstartmag.com/how-paris-fashion-week-2024-blends-tech-ai-and-couture-on-the-runway/; https://www.thegaze.media/culture/paris-fashion-week-kicks-off-in-france-designs-by-ai-and-street-style-haute-couture](https://www.thegaze.media/culture/paris-fashion-week-kicks-off-in-france-designs-by-ai-and-street-style-haute-couture; https://jingdaily.com/posts/which-brands-used-ai-best-in-2024](https://jingdaily.com/posts/which-brands-used-ai-best-in-2024
41,Fashion,Has any country introduced legislation regulating fast fashion imports as of 2025?,icl,"Yes, as of 2025, France has introduced pioneering legislation specifically targeting fast fashion imports. In June 2025, the French parliament passed an ""Anti-Fast Fashion Law"" that imposes a series of regulations on low-cost, rapidly produced garments. Key measures include a ban on advertising for the cheapest textiles and an environmental surcharge on low-cost items, starting at €5 per item in 2025 and increasing to €10 by 2030.

Beyond France, the European Union has implemented broader regulations that impact fast fashion. As of January 1, 2025, the EU's Extended Producer Responsibility (EPR) scheme makes textile producers responsible for the entire lifecycle of their products, including waste collection and recycling. Additionally, the introduction of Digital Product Passports will require textile products sold in the EU to carry detailed information about their sustainability and recyclability.

While the United States has not passed overarching federal legislation specifically targeting fast fashion imports, there have been tariff adjustments and increased scrutiny on supply chains for issues like forced labor.

Sources:
- Trimco Group. (2025, June 19). *Anti-Fast Fashion Law in France | Trimco Group's Perspective*.
- *EU's 2025 Textile Legislation: A Turning Point for Shein and Fast Fashion*. (2025, May 26).
- The Japan News. (2025, December 4). *World's Top Fashion Brands Make Strides in Sustainability; Paris Fashion Week Provides Competition for Eco-Fashion*.
- Style Arcade. (2024, April 30). *Global fashion legislation updates: What brands need to know*.
- FashionatingWorld. (2024, April 10). *France passes new law to make fast fashion industry more sustainable*.
- Frontier.cool. (2025, April 12). *2025 Tariff Changes: Impact on Fashion, Textiles & Manufacturing*.
- IDFL. (2025, March 12). *Global Textile Regulations: What You Need to Know in 2025*.",
