question id,domain,question,prompt_type,response,sources
8,Medicine,What components and cutoffs define the Ottawa ankle rules and Ottawa knee rules?,precise,"Ottawa Ankle/Foot Rules
- Ankle radiographs: pain in malleolar zone plus any of:
  - Tenderness at posterior edge or tip of lateral or medial malleolus within distal 6 cm; or
  - Inability to bear weight both immediately and in the ED (4 steps).
- Foot radiographs: pain in midfoot zone plus any of:
  - Tenderness at navicular; or
  - Tenderness at base of 5th metatarsal; or
  - Inability to bear weight both immediately and in the ED (4 steps). ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/7912053/))

Ottawa Knee Rule (after acute knee injury)
- Knee radiographs if any of:
  - Age ≥55 years;
  - Isolated patellar tenderness;
  - Fibular head tenderness;
  - Inability to flex knee to 90°;
  - Inability to bear weight immediately and in the ED (4 steps). ([aci.health.nsw.gov.au](https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee?utm_source=openai))

Sources:
https://pubmed.ncbi.nlm.nih.gov/7912053/
https://jamanetwork.com/journals/jama/fullarticle/397187
https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee",https://pubmed.ncbi.nlm.nih.gov/7912053/; https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee?utm_source=openai; https://jamanetwork.com/journals/jama/fullarticle/397187; https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee
8,Medicine,What components and cutoffs define the Ottawa ankle rules and Ottawa knee rules?,verification,"Ottawa Ankle Rules
- Ankle X‑ray: pain in malleolar zone plus any of—tenderness at posterior edge/tip of lateral or medial malleolus (distal 6 cm), or inability to bear weight for 4 steps immediately and in the ED. ([aci.health.nsw.gov.au](https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult?utm_source=openai))
- Foot X‑ray: pain in midfoot zone plus any of—tenderness at base of 5th metatarsal, tenderness at navicular, or inability to bear weight for 4 steps immediately and in the ED. ([aci.health.nsw.gov.au](https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult?utm_source=openai))

Ottawa Knee Rule
- Knee X‑ray if any: age ≥55, isolated patellar tenderness, fibular head tenderness, inability to flex to 90°, or inability to bear weight for 4 steps immediately and in the ED. ([aci.health.nsw.gov.au](https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee?utm_source=openai))

These criteria and cutoffs are listed verbatim in the NSW Agency for Clinical Innovation appendices, which summarize the original Ottawa rules studies. ([aci.health.nsw.gov.au](https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult?utm_source=openai))

Sources:
https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult
https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee",https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult?utm_source=openai; https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee?utm_source=openai; https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult; https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee
8,Medicine,What components and cutoffs define the Ottawa ankle rules and Ottawa knee rules?,icl,"Ottawa Ankle/Foot Rules
- Ankle radiographs: pain in malleolar zone plus any of:
  - Bone tenderness at posterior edge or tip of lateral malleolus (distal 6 cm)
  - Bone tenderness at posterior edge or tip of medial malleolus (distal 6 cm)
  - Inability to bear weight for 4 steps immediately and in the ED
- Foot radiographs: pain in midfoot zone plus any of:
  - Bone tenderness at base of 5th metatarsal
  - Bone tenderness at navicular
  - Inability to bear weight for 4 steps immediately and in the ED. ([ohri.ca](https://www.ohri.ca/emerg/cdr/ankle.html?utm_source=openai))

Ottawa Knee Rule
- After acute knee injury, obtain knee radiographs if any:
  - Age ≥55 years
  - Isolated patellar tenderness
  - Tenderness at fibular head
  - Inability to flex to 90°
  - Inability to bear weight for 4 steps immediately and in the ED. ([ohri.ca](https://www.ohri.ca/emerg/cdr/knee.html?utm_source=openai))

Sources:
https://www.ohri.ca/emerg/cdr/ankle.html
https://www.ohri.ca/emerg/cdr/knee.html
https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult
https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee",https://www.ohri.ca/emerg/cdr/ankle.html?utm_source=openai; https://www.ohri.ca/emerg/cdr/knee.html?utm_source=openai; https://www.ohri.ca/emerg/cdr/ankle.html; https://www.ohri.ca/emerg/cdr/knee.html; https://aci.health.nsw.gov.au/ecat/appendices/ottawa-ankle-adult; https://aci.health.nsw.gov.au/ecat/appendices/ottawa-knee
9,Medicine,"What is the SOFA score composition, and how is it used in sepsis?",direct,"Composition: Six organ systems, each scored 0–4 points:
- Respiratory (PaO2/FiO2)
- Coagulation (platelets)
- Liver (bilirubin)
- Cardiovascular (MAP and need/dose of vasopressors)
- Central nervous system (Glasgow Coma Scale)
- Renal (creatinine or urine output)
Total score 0–24.

Use in sepsis: Sepsis-3 (2016) defines sepsis as life‑threatening organ dysfunction from infection, operationalized as an acute increase in SOFA ≥2 points from baseline, which corresponds to an in‑hospital mortality generally >10%. If prior organ dysfunction is unknown, baseline is assumed zero. SOFA is used to identify organ dysfunction, trend severity over time, and risk‑stratify; higher or rising scores indicate worse prognosis.

Sources:
https://jamanetwork.com/journals/jama/fullarticle/2492881
https://pmc.ncbi.nlm.nih.gov/articles/PMC8204681/
https://pubmed.ncbi.nlm.nih.gov/9824069/",https://jamanetwork.com/journals/jama/fullarticle/2492881; https://pmc.ncbi.nlm.nih.gov/articles/PMC8204681/; https://pubmed.ncbi.nlm.nih.gov/9824069/
9,Medicine,"What is the SOFA score composition, and how is it used in sepsis?",precise,"Composition: SOFA scores six organ systems, each 0–4 points: respiratory (PaO2/FiO2, with consideration of mechanical ventilation), coagulation (platelet count), liver (bilirubin), cardiovascular (MAP and vasopressor dose), central nervous system (Glasgow Coma Scale), and renal (creatinine or urine output); total 0–24. ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC2703722/?utm_source=openai))

Use in sepsis: Sepsis-3 defines sepsis as life‑threatening organ dysfunction due to infection, operationalized as an acute increase in SOFA ≥2 from baseline; higher and rising SOFA scores indicate greater mortality risk and are trended serially. Septic shock is a subset requiring vasopressors to maintain MAP ≥65 mm Hg and lactate >2 mmol/L after fluids. ([jamanetwork.com](https://jamanetwork.com/journals/jama/fullarticle/2492881?utm_source=openai))

Sources:
https://jamanetwork.com/journals/jama/fullarticle/2492881
https://pmc.ncbi.nlm.nih.gov/articles/PMC2703722/",https://pmc.ncbi.nlm.nih.gov/articles/PMC2703722/?utm_source=openai; https://jamanetwork.com/journals/jama/fullarticle/2492881?utm_source=openai; https://jamanetwork.com/journals/jama/fullarticle/2492881; https://pmc.ncbi.nlm.nih.gov/articles/PMC2703722/
9,Medicine,"What is the SOFA score composition, and how is it used in sepsis?",verification,"Composition: SOFA sums six organ-system subscores (0–4 each): respiratory (PaO2/FiO2), coagulation (platelets), liver (bilirubin), cardiovascular (MAP/vasopressors), neurologic (Glasgow Coma Scale), and renal (creatinine or urine output); total 0–24. ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC4140959/?utm_source=openai))
Use in sepsis: Sepsis‑3 defines sepsis as suspected/confirmed infection plus an acute SOFA increase ≥2 points; clinicians use SOFA to identify organ dysfunction, stratify risk, and track course, as serial changes correlate with mortality. ([jamanetwork.com](https://jamanetwork.com/journals/jama/fullarticle/2492881?utm_source=openai))

Source relevance: JAMA 2016 provides the consensus definition linking SOFA to sepsis, the PMC article shows the SOFA components, and the JAMA study validates serial SOFA for prognosis. ([jamanetwork.com](https://jamanetwork.com/journals/jama/fullarticle/2492881?utm_source=openai))

Sources:
https://jamanetwork.com/journals/jama/fullarticle/2492881
https://pmc.ncbi.nlm.nih.gov/articles/PMC4140959/
https://pubmed.ncbi.nlm.nih.gov/11594901/",https://pmc.ncbi.nlm.nih.gov/articles/PMC4140959/?utm_source=openai; https://jamanetwork.com/journals/jama/fullarticle/2492881?utm_source=openai; https://jamanetwork.com/journals/jama/fullarticle/2492881; https://pmc.ncbi.nlm.nih.gov/articles/PMC4140959/; https://pubmed.ncbi.nlm.nih.gov/11594901/
9,Medicine,"What is the SOFA score composition, and how is it used in sepsis?",icl,"Composition (six organ systems; each scored 0–4, total 0–24):
- Respiratory: PaO2/FiO2 ratio (considering respiratory support).
- Coagulation: Platelet count.
- Liver: Serum bilirubin.
- Cardiovascular: Mean arterial pressure and vasopressor dose.
- Central nervous system: Glasgow Coma Scale.
- Renal: Serum creatinine or urine output.

Use in sepsis:
- Sepsis-3 defines sepsis as suspected or documented infection plus an acute increase in SOFA ≥2 from baseline; this associates with >10% in-hospital mortality. It is used to quantify organ dysfunction, risk-stratify patients, and track trajectory. Septic shock is sepsis with vasopressors needed to keep MAP ≥65 mm Hg and lactate >2 mmol/L despite fluids (mortality >40%). 

Sources:
https://jamanetwork.com/journals/jama/fullarticle/2492881
https://www.merckmanuals.com/professional/multimedia/table/sequential-organ-failure-assessment-sofa-score",https://jamanetwork.com/journals/jama/fullarticle/2492881; https://www.merckmanuals.com/professional/multimedia/table/sequential-organ-failure-assessment-sofa-score
10,Medicine,What are the ABCDE warning signs of melanoma?,direct,"The ABCDE warning signs of melanoma:
- Asymmetry: one half unlike the other.
- Border: irregular, scalloped, or poorly defined.
- Color: multiple/uneven colors; may include white, red, or blue.
- Diameter: usually >6 mm (~¼ inch), but can be smaller.
- Evolving: any change or new symptoms (itching, bleeding, crusting).

See a dermatologist promptly for any concerning spot. ([aad.org](https://www.aad.org/public/diseases/skin-cancer/types/common/melanoma/symptoms?utm_source=openai))

Sources:
https://www.aad.org/public/diseases/skin-cancer/types/common/melanoma/symptoms
https://www.cdc.gov/skin-cancer/symptoms/index.html
https://www.cancer.gov/types/skin/melanoma-photos",https://www.aad.org/public/diseases/skin-cancer/types/common/melanoma/symptoms?utm_source=openai; https://www.aad.org/public/diseases/skin-cancer/types/common/melanoma/symptoms; https://www.cdc.gov/skin-cancer/symptoms/index.html; https://www.cancer.gov/types/skin/melanoma-photos
10,Medicine,What are the ABCDE warning signs of melanoma?,precise,"The ABCDE warning signs of melanoma:
- A – Asymmetry: one half doesn’t match the other.
- B – Border: edges are irregular, ragged, notched, or blurred.
- C – Color: uneven color or multiple colors (brown/black; sometimes red, white, or blue).
- D – Diameter: larger than 6 mm (¼ inch), though melanomas can be smaller.
- E – Evolving: any change (size, shape, or color) or new symptoms like itching or bleeding.

If you notice any of these features, get the spot checked by a clinician promptly.

Sources:
https://www.aad.org/media/stats/conditions/melanoma-faqs
https://www.cancer.org/cancer/types/melanoma-skin-cancer/detection-diagnosis-staging/signs-and-symptoms.html",https://www.aad.org/media/stats/conditions/melanoma-faqs; https://www.cancer.org/cancer/types/melanoma-skin-cancer/detection-diagnosis-staging/signs-and-symptoms.html
10,Medicine,What are the ABCDE warning signs of melanoma?,verification,"ABCDE warning signs of melanoma:
- Asymmetry: one half doesn’t match the other.
- Border: irregular, ragged, scalloped, or poorly defined edges.
- Color: uneven colors (shades of brown/black; sometimes white, red, or blue).
- Diameter: usually >6 mm (about a pencil eraser), though melanomas can be smaller.
- Evolving: any change in size, shape, color, or symptoms. ([aad.org](https://www.aad.org/public/spot-skin-cancer/learn-about-skin-cancer/detect/how-to-spot-skin-cancer/how-to-spot-skin-cancer?utm_source=openai))

These criteria come from the American Academy of Dermatology and the CDC, authoritative clinical/public-health sources on melanoma detection. ([aad.org](https://www.aad.org/public/spot-skin-cancer/learn-about-skin-cancer/detect/how-to-spot-skin-cancer/how-to-spot-skin-cancer?utm_source=openai))

Sources:
https://www.aad.org/public/spot-skin-cancer/learn-about-skin-cancer/detect/how-to-spot-skin-cancer/how-to-spot-skin-cancer
https://www.cdc.gov/skin-cancer/symptoms/index.html",https://www.aad.org/public/spot-skin-cancer/learn-about-skin-cancer/detect/how-to-spot-skin-cancer/how-to-spot-skin-cancer?utm_source=openai; https://www.aad.org/public/spot-skin-cancer/learn-about-skin-cancer/detect/how-to-spot-skin-cancer/how-to-spot-skin-cancer; https://www.cdc.gov/skin-cancer/symptoms/index.html
10,Medicine,What are the ABCDE warning signs of melanoma?,icl,"The ABCDE warning signs of melanoma:
- A – Asymmetry: one half doesn’t match the other.
- B – Border: irregular, ragged, or blurred edges.
- C – Color: uneven color or multiple shades.
- D – Diameter: larger than 6 mm (about ¼ inch) or increasing in size.
- E – Evolving: any change in size, shape, color, or new symptoms (itching, bleeding). ([cdc.gov](https://www.cdc.gov/skin-cancer/symptoms/index.html?utm_source=openai))

Note: Some melanomas are smaller than 6 mm and don’t meet all criteria—have any changing or unusual spot checked promptly. ([cancer.org](https://www.cancer.org/cancer/types/melanoma-skin-cancer/detection-diagnosis-staging/signs-and-symptoms.html?utm_source=openai))

Sources:
https://www.cdc.gov/skin-cancer/symptoms/index.html
https://www.cancer.org/cancer/types/melanoma-skin-cancer/detection-diagnosis-staging/signs-and-symptoms.html",https://www.cdc.gov/skin-cancer/symptoms/index.html?utm_source=openai; https://www.cancer.org/cancer/types/melanoma-skin-cancer/detection-diagnosis-staging/signs-and-symptoms.html?utm_source=openai; https://www.cdc.gov/skin-cancer/symptoms/index.html; https://www.cancer.org/cancer/types/melanoma-skin-cancer/detection-diagnosis-staging/signs-and-symptoms.html
11,Medicine,"What are the normal ranges for PR, QRS, and QTc intervals on ECG?",direct,"- PR interval: 120–200 ms (0.12–0.20 s). ([litfl.com](https://litfl.com/pr-interval-ecg-library/?utm_source=openai))
- QRS duration: typically 70–100 ms (up to 110 ms may be normal); “wide” if ≥120 ms. ([litfl.com](https://litfl.com/qrs-interval-ecg-library/?utm_source=openai))
- QTc (rate-corrected QT):
  - Men: normal <440 ms; Women: normal <460 ms.
  - Markedly prolonged if >500 ms; abnormally short if <350 ms. ([litfl.com](https://litfl.com/qt-interval-ecg-library/?utm_source=openai))

Notes: Large population data place 2nd–98th percentile reference ranges at PR 113–212 ms, QRS 69–109 ms, and QTc (Bazett) 361–457 ms. ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/17276451/?utm_source=openai))

Sources:
https://litfl.com/pr-interval-ecg-library/
https://litfl.com/qrs-interval-ecg-library/
https://litfl.com/qt-interval-ecg-library/
https://pubmed.ncbi.nlm.nih.gov/17276451/",https://litfl.com/pr-interval-ecg-library/?utm_source=openai; https://litfl.com/qrs-interval-ecg-library/?utm_source=openai; https://litfl.com/qt-interval-ecg-library/?utm_source=openai; https://pubmed.ncbi.nlm.nih.gov/17276451/?utm_source=openai; https://litfl.com/pr-interval-ecg-library/; https://litfl.com/qrs-interval-ecg-library/; https://litfl.com/qt-interval-ecg-library/; https://pubmed.ncbi.nlm.nih.gov/17276451/
11,Medicine,"What are the normal ranges for PR, QRS, and QTc intervals on ECG?",precise,"- PR interval: 0.12–0.20 s (120–200 ms). ([merckmanuals.com](https://www.merckmanuals.com/professional/cardiovascular-disorders/cardiovascular-tests-and-procedures/electrocardiography))
- QRS duration: 0.07–0.10 s (70–100 ms); ≥0.12 s is considered wide. ([merckmanuals.com](https://www.merckmanuals.com/professional/cardiovascular-disorders/cardiovascular-tests-and-procedures/electrocardiography))
- QTc (rate-corrected): Men ~350–450 ms; Women ~360–460 ms (adults). ([merckmanuals.com](https://www.merckmanuals.com/professional/cardiovascular-disorders/cardiovascular-tests-and-procedures/electrocardiography))

Sources:
https://www.merckmanuals.com/professional/cardiovascular-disorders/cardiovascular-tests-and-procedures/electrocardiography
https://www.ncbi.nlm.nih.gov/books/NBK549803/",https://www.merckmanuals.com/professional/cardiovascular-disorders/cardiovascular-tests-and-procedures/electrocardiography; https://www.ncbi.nlm.nih.gov/books/NBK549803/
11,Medicine,"What are the normal ranges for PR, QRS, and QTc intervals on ECG?",verification,"- PR interval: 120–200 ms.
- QRS duration: <120 ms (usually 60–100 ms).
- QTc: ≤440 ms (men) and ≤460 ms (women). ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/books/NBK549803/?utm_source=openai))

I used clinician-reviewed StatPearls chapters that explicitly list adult normal ECG interval ranges and definitions.

Sources:
https://www.ncbi.nlm.nih.gov/books/NBK549803/
https://www.ncbi.nlm.nih.gov/sites/books/n/statpearls/article-28129/",https://www.ncbi.nlm.nih.gov/books/NBK549803/?utm_source=openai; https://www.ncbi.nlm.nih.gov/books/NBK549803/; https://www.ncbi.nlm.nih.gov/sites/books/n/statpearls/article-28129/
11,Medicine,"What are the normal ranges for PR, QRS, and QTc intervals on ECG?",icl,"Normal adult ECG intervals:
- PR: 120–200 ms (0.12–0.20 s). ([litfl.com](https://litfl.com/pr-interval-ecg-library/?utm_source=openai))
- QRS: typically 70–100 ms; up to 110 ms may be seen in healthy adults; clinical upper limit of normal is <120 ms. ([litfl.com](https://litfl.com/qrs-interval-ecg-library/?utm_source=openai))
- QTc (rate-corrected QT): Men <450 ms; Women <460 ms. ([litfl.com](https://litfl.com/qt-interval-ecg-library/?utm_source=openai))

Notes: QTc depends on the correction formula (e.g., Bazett, Fridericia); risk rises notably when QTc ≥500 ms. ([litfl.com](https://litfl.com/qt-interval-ecg-library/?utm_source=openai))

Sources:
https://litfl.com/pr-interval-ecg-library/
https://litfl.com/qt-interval-ecg-library/
https://ecgwaves.com/docs/reference-values-for-adult-ecg/",https://litfl.com/pr-interval-ecg-library/?utm_source=openai; https://litfl.com/qrs-interval-ecg-library/?utm_source=openai; https://litfl.com/qt-interval-ecg-library/?utm_source=openai; https://litfl.com/pr-interval-ecg-library/; https://litfl.com/qt-interval-ecg-library/; https://ecgwaves.com/docs/reference-values-for-adult-ecg/
12,Medicine,What are first-line drug classes for initial hypertension management in adults?,direct,"First-line antihypertensive drug classes for most adults:
- Thiazide/thiazide-like diuretics (prefer chlorthalidone).
- ACE inhibitors.
- ARBs.
- Calcium channel blockers. ([acc.org](https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults?utm_source=openai))

Notes:
- In Black adults without CKD/HF, start with a thiazide or CCB. 
- Beta-blockers are not first line unless there’s a compelling indication (e.g., CAD or HFrEF). 
- Avoid combining an ACE inhibitor with an ARB. ([acc.org](https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults?utm_source=openai))

Sources:
```
https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults
https://www.ccjm.org/content/85/10/771
https://www.acc.org/latest-in-cardiology/articles/2017/11/14/14/42/the-2017-high-blood-pressure-guideline-risk-reduction-through-better-management
```",https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults?utm_source=openai; https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults; https://www.ccjm.org/content/85/10/771; https://www.acc.org/latest-in-cardiology/articles/2017/11/14/14/42/the-2017-high-blood-pressure-guideline-risk-reduction-through-better-management
12,Medicine,What are first-line drug classes for initial hypertension management in adults?,precise,"First-line antihypertensive drug classes for most nonpregnant adults:
- Thiazide/thiazide-like diuretics (prefer chlorthalidone)
- ACE inhibitors
- Angiotensin II receptor blockers (ARBs)
- Calcium channel blockers. ([acc.org](https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2017/11/09/11/41/2017-guideline-for-high-blood-pressure-in-adults?utm_source=openai))

Notes:
- Beta-blockers are not first line unless there’s a compelling indication (e.g., coronary artery disease or HFrEF). ([acc.org](https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2017/11/09/11/41/2017-guideline-for-high-blood-pressure-in-adults?utm_source=openai))
- In Black adults without CKD, start with a thiazide or a calcium channel blocker; with CKD and albuminuria, use an ACE inhibitor or ARB. ([ccjm.org](https://www.ccjm.org/content/85/10/771?utm_source=openai))

Sources:
https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2017/11/09/11/41/2017-guideline-for-high-blood-pressure-in-adults
https://www.ccjm.org/content/85/10/771",https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2017/11/09/11/41/2017-guideline-for-high-blood-pressure-in-adults?utm_source=openai; https://www.ccjm.org/content/85/10/771?utm_source=openai; https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2017/11/09/11/41/2017-guideline-for-high-blood-pressure-in-adults; https://www.ccjm.org/content/85/10/771
12,Medicine,What are first-line drug classes for initial hypertension management in adults?,verification,"First-line antihypertensive drug classes for adults:
- Thiazide-type diuretics
- Long-acting dihydropyridine calcium channel blockers
- ACE inhibitors
- Angiotensin II receptor blockers (ARBs). ([guidelinecentral.com](https://www.guidelinecentral.com/guideline/6962?utm_source=openai))

These recommendations come from the 2025 AHA/ACC hypertension guideline and authoritative summaries that explicitly name the first-line classes for initial therapy. ([guidelinecentral.com](https://www.guidelinecentral.com/guideline/6962?utm_source=openai))

Sources:
https://www.guidelinecentral.com/guideline/6962
https://www.acc.org/Latest-in-Cardiology/Articles/2025/10/01/01/New-in-Clinical-Guidance-HBP
https://journalfeed.org/article-a-day/2025/new-2025-aha-acc-hypertension-guidelines/",https://www.guidelinecentral.com/guideline/6962?utm_source=openai; https://www.guidelinecentral.com/guideline/6962; https://www.acc.org/Latest-in-Cardiology/Articles/2025/10/01/01/New-in-Clinical-Guidance-HBP; https://journalfeed.org/article-a-day/2025/new-2025-aha-acc-hypertension-guidelines/
12,Medicine,What are first-line drug classes for initial hypertension management in adults?,icl,"The recommended first-line antihypertensive drug classes for initial treatment in most nonpregnant adults are:
- Thiazide or thiazide-like diuretics (e.g., chlorthalidone)
- ACE inhibitors
- ARBs
- Calcium channel blockers. ([acc.org](https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults?utm_source=openai))

Beta-blockers are generally not first-line unless there’s a compelling indication (e.g., ischemic heart disease or HFrEF). ([acc.org](https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults?utm_source=openai))

Nuance: In Black adults without CKD, start with a thiazide or CCB; with CKD and albuminuria, prefer an ACE inhibitor or ARB. ([acc.org](https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults?utm_source=openai))

Sources:
https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults
https://www.acc.org/latest-in-cardiology/articles/2017/11/14/14/42/the-2017-high-blood-pressure-guideline-risk-reduction-through-better-management
https://pmc.ncbi.nlm.nih.gov/articles/PMC6740329/
https://www.ccjm.org/content/85/10/771",https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults?utm_source=openai; https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults; https://www.acc.org/latest-in-cardiology/articles/2017/11/14/14/42/the-2017-high-blood-pressure-guideline-risk-reduction-through-better-management; https://pmc.ncbi.nlm.nih.gov/articles/PMC6740329/; https://www.ccjm.org/content/85/10/771
13,Medicine,What is the difference between unstable angina and NSTEMI?,direct,"Key difference: myocardial injury.

- Biomarkers: NSTEMI shows a rise/fall of cardiac troponin above the 99th percentile (evidence of necrosis). Unstable angina has ischemic symptoms but troponin remains below the 99th percentile (no acute injury).
- ECG: Neither has persistent ST elevation; both may have ST depression/T‑wave inversion or be normal.
- Pathophysiology: NSTEMI = infarction; unstable angina = ischemia without infarction.
- Prognosis: NSTEMI carries higher short‑term mortality; unstable angina is lower risk but still serious.
- Trends/management: High‑sensitivity troponins have reclassified many cases from unstable angina to NSTEMI. Both are NSTE‑ACS; NSTEMI more often benefits from early invasive strategies, while unstable angina management is risk‑guided.

Sources:
https://academic.oup.com/eurheartj/article/44/38/3720/7243210
https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2018/08/24/00/09/fourth-universal-definition-of-mi-esc-2018
https://pmc.ncbi.nlm.nih.gov/articles/PMC8026278/
https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/unstable-angina",https://academic.oup.com/eurheartj/article/44/38/3720/7243210; https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2018/08/24/00/09/fourth-universal-definition-of-mi-esc-2018; https://pmc.ncbi.nlm.nih.gov/articles/PMC8026278/; https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/unstable-angina
13,Medicine,What is the difference between unstable angina and NSTEMI?,precise,"Both are non–ST-elevation acute coronary syndromes. The key distinction is myocardial necrosis: NSTEMI has elevated cardiac troponin (above the 99th‑percentile upper reference limit) with a rise/fall pattern consistent with ischemia; unstable angina has ischemic symptoms/signs but troponins remain normal or below MI criteria. ([acc.org](https://www.acc.org/latest-in-cardiology/articles/2018/11/16/09/06/fourth-universal-definition-of-mi?utm_source=openai))
ECG may be normal or show transient ST depression/T‑wave inversion in either condition. ([merckmanuals.com](https://www.merckmanuals.com/en-ca/professional/cardiovascular-disorders/coronary-artery-disease/overview-of-acute-coronary-syndromes-acs?utm_source=openai))
Clinical approach overlaps (antiplatelets, anticoagulation, and early invasive evaluation based on risk), but NSTEMI generally carries higher short‑term risk and is treated as myocardial infarction. With high‑sensitivity troponin assays, many cases once labeled “unstable angina” are now reclassified as NSTEMI. ([escardio.org](https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Acute-Coronary-Syndromes-ACS-Guidelines?utm_source=openai))

Sources:
https://www.acc.org/latest-in-cardiology/articles/2018/11/16/09/06/fourth-universal-definition-of-mi
https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/overview-of-acute-coronary-syndromes-acs
https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Acute-Coronary-Syndromes-ACS-Guidelines",https://www.acc.org/latest-in-cardiology/articles/2018/11/16/09/06/fourth-universal-definition-of-mi?utm_source=openai; https://www.merckmanuals.com/en-ca/professional/cardiovascular-disorders/coronary-artery-disease/overview-of-acute-coronary-syndromes-acs?utm_source=openai; https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Acute-Coronary-Syndromes-ACS-Guidelines?utm_source=openai; https://www.acc.org/latest-in-cardiology/articles/2018/11/16/09/06/fourth-universal-definition-of-mi; https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/overview-of-acute-coronary-syndromes-acs; https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Acute-Coronary-Syndromes-ACS-Guidelines
